"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 06 2008","2454685","239716801","0","< 6.17e-8","-","-","-","1e-8","0","bin1.log"
"Aug 09 2008","2454688","239976001","0.08","< 8.03e-8","-","-","-","1e-8","0","bin2.log"
"Aug 12 2008","2454691","240235201","27.26","1.99e-7","6.00e-8","-2.1","-","1e-8","0","bin3.log"
"Aug 15 2008","2454694","240494401","3.37","< 1.23e-7","-","-","-","1e-8","0","bin4.log"
"Aug 18 2008","2454697","240753601","4","5.36e-8","3.54e-8","-2.1","-","1e-8","0","bin5.log"
"Aug 21 2008","2454700","241012801","23.01","1.33e-7","4.46e-8","-2.1","-","1e-8","0","bin6.log"
"Aug 24 2008","2454703","241272001","2.01","< 8.52e-8","-","-","-","1e-8","0","bin7.log"
"Aug 27 2008","2454706","241531201","26.62","1.31e-7","4.06e-8","-2.1","-","1e-8","0","bin8.log"
"Aug 30 2008","2454709","241790401","33.37","1.39e-7","3.80e-8","-2.1","-","1e-8","0","bin9.log"
"Sep 02 2008","2454712","242049601","10.86","6.05e-8","2.74e-8","-2.1","-","1e-8","0","bin10.log"
"Sep 05 2008","2454715","242308801","13.78","6.55e-8","2.69e-8","-2.1","-","1e-8","0","bin11.log"
"Sep 08 2008","2454718","242568001","49.58","1.32e-7","3.50e-8","-2.1","-","1e-8","0","bin12.log"
"Sep 11 2008","2454721","242827201","25.71","9.70e-8","3.28e-8","-2.1","-","1e-8","0","bin13.log"
"Sep 14 2008","2454724","243086401","19.05","9.03e-8","3.31e-8","-2.1","-","1e-8","0","bin14.log"
"Sep 17 2008","2454727","243345601","9.3","6.80e-8","3.49e-8","-2.1","-","1e-8","0","bin15.log"
"Sep 20 2008","2454730","243604801","6.35","5.99e-8","3.17e-8","-2.1","-","1e-8","0","bin16.log"
"Sep 23 2008","2454733","243864001","21.14","1.10e-7","3.92e-8","-2.1","-","1e-8","0","bin17.log"
"Sep 26 2008","2454736","244123201","15.88","9.24e-8","3.47e-8","-2.1","-","1e-8","0","bin18.log"
